window,quintile,arousal_lo,arousal_hi,n,events,log_hazard,se,p
full window,1,0.0,1.107140932670078,774,11,0.0,,
full window,2,1.1180677679153317,7.073896381536149,773,13,-0.42138713498990943,0.4368543157487199,0.33474811045648334
full window,3,7.074592855549888,24.792039876236977,774,30,-0.06770906453864362,0.5049137367056504,0.8933232922200572
full window,4,24.794533698424967,58.55655464687214,773,31,-0.3158028721733498,0.5100257750256325,0.5357911826353567
full window,5,58.57512151964389,99.97407811541325,774,88,0.3926210656280489,0.5058554349642248,0.43765882567307945
t >= 28s,1,5.802656256171665e-08,9.14973482532287,297,26,0.0,,
t >= 28s,2,9.236285328326089,26.908977353134244,296,30,0.1237420134023823,0.3055729274818621,0.6855136474611235
t >= 28s,3,26.956538288486684,52.50798024532315,296,22,-0.22040807910819857,0.22080360841343488,0.3181781769518468
t >= 28s,4,52.61770485839118,81.93916773504104,296,40,0.4008065188204934,0.26803138708582264,0.13481749336111187
t >= 28s,5,81.95673178103229,99.97407811541325,297,48,0.48969303697394445,0.2797442025010987,0.0800315746481359
